player_api_id,player_name,birthday,height,weight
505942,Aaron Appindangoye,29/02/1992 0:00,182.88,187
155782,Aaron Cresswell,15/12/1989 0:00,170.18,146
162549,Aaron Doran,13/05/1991 0:00,170.18,163
30572,Aaron Galindo,08/05/1982 0:00,182.88,198
23780,Aaron Hughes,08/11/1979 0:00,182.88,154
27316,Aaron Hunt,04/09/1986 0:00,182.88,161
564793,Aaron Kuhl,30/01/1996 0:00,172.72,146
30895,Aaron Lennon,16/04/1987 0:00,165.1,139
528212,Aaron Lennox,19/02/1993 0:00,190.5,181
101042,Aaron Meijers,28/10/1987 0:00,175.26,170
23889,Aaron Mokoena,25/11/1980 0:00,182.88,181
231592,Aaron Mooy,15/09/1990 0:00,175.26,150
163222,Aaron Muirhead,30/08/1990 0:00,187.96,168
40719,Aaron Niguez,26/04/1989 0:00,170.18,143
75489,Aaron Ramsey,26/12/1990 0:00,177.8,154
597948,Aaron Splaine,13/10/1996 0:00,172.72,163
161644,Aaron Taylor-Sinclair,08/04/1991 0:00,182.88,176
23499,Aaron Wilbraham,21/10/1979 0:00,190.5,159
120919,Aatif Chahechouhe,02/07/1986 0:00,175.26,150
46447,Abasse Ba,12/07/1976 0:00,187.96,185
167027,Abdelaziz Barrada,19/06/1989 0:00,177.8,161
245653,Abdelfettah Boukhriss,22/10/1986 0:00,185.42,161
128456,Abdelhamid El Kaoutari,17/03/1990 0:00,180.34,161
42664,Abdelkader Ghezzal,05/12/1984 0:00,182.88,172
425950,Abdellah Zoubir,05/12/1991 0:00,180.34,161
38423,Abdelmajid Oulmers,12/09/1978 0:00,172.72,143
3264,Abdelmalek Cherrad,14/01/1981 0:00,185.42,165
467485,Abdelmalek El Hasnaoui,09/02/1994 0:00,180.34,159
306735,Abdelouahed Chakhsi,01/10/1986 0:00,182.88,170
41659,Abderrazak Jadid,01/06/1983 0:00,177.8,157
31684,Abdeslam Ouaddou,01/11/1978 0:00,190.5,181
32637,Abdessalam Benjelloun,28/01/1985 0:00,187.96,179
563215,Abdou Diallo,04/05/1996 0:00,182.88,159
41093,Abdou Traore,17/01/1988 0:00,180.34,174
564712,Abdoul Ba,08/02/1994 0:00,200.66,212
67334,Abdoul Karim Yoda,25/10/1988 0:00,182.88,161
173955,Abdoul Razzagui Camara,20/02/1990 0:00,177.8,157
39562,Abdoulay Konko,09/03/1984 0:00,182.88,157
191784,Abdoulaye Ba,01/01/1991 0:00,198.12,174
210400,Abdoulaye Bamba,25/04/1990 0:00,182.88,150
201915,Abdoulaye Diaby,21/05/1991 0:00,172.72,154
194479,"Abdoulaye Diallo Sadio,22",28/12/1990 0:00,182.88,168
189181,Abdoulaye Diallo,30/03/1992 0:00,187.96,174
352887,Abdoulaye Doucoure,01/01/1993 0:00,182.88,165
40005,Abdoulaye Faye,26/02/1978 0:00,187.96,218
409003,Abdoulaye Keita,05/01/1994 0:00,175.26,165
37280,Abdoulaye Meite,06/10/1980 0:00,185.42,181
439366,Abdoulaye Toure,03/03/1994 0:00,187.96,170
148827,Abdoulwahid Sissoko,20/03/1990 0:00,182.88,165
173011,Abdourahman Dampha,27/12/1991 0:00,182.88,168
419681,Abdul Aziz Tetteh,10/02/1989 0:00,182.88,190
196947,Abdul Majeed Waris,19/09/1991 0:00,172.72,157
89405,Abdul Osman,27/02/1987 0:00,182.88,154
324910,Abdul Rahman Baba,02/07/1994 0:00,177.8,154
67952,Abdul-Yakinu Iddi,25/05/1986 0:00,172.72,146
31012,Abdulkader Keita,06/08/1981 0:00,182.88,172
176301,Abdulla Fatadi,02/11/1985 0:00,175.26,172
307227,Abdullah Al Hafith,25/12/1992 0:00,187.96,165
176302,Abdullah Omar,01/01/1987 0:00,175.26,157
525595,Abdullahi Shehu,12/03/1993 0:00,180.34,159
24385,Abel Aguilar,06/01/1985 0:00,185.42,176
29904,Abel Gomez,20/02/1982 0:00,182.88,165
105548,Abel Hernandez,08/08/1990 0:00,185.42,161
172875,Abel Issa Camara,06/01/1990 0:00,185.42,179
302985,Abel Khaled,09/11/1992 0:00,180.34,148
240556,Abel Tamata,05/12/1990 0:00,182.88,170
40938,Abel,22/12/1978 0:00,177.8,165
37422,Abella Perez Damia,15/04/1982 0:00,187.96,174
114503,Abiola Dauda,03/02/1988 0:00,180.34,165
27277,Abou Diaby,11/05/1986 0:00,193.04,168
181344,Aboubacar Tandia,05/10/1983 0:00,193.04,185
581141,Aboubakar Kamara,07/03/1995 0:00,177.8,168
80592,Aboubakar Oumarou,01/04/1987 0:00,182.88,168
165706,Abraham Gonzalez,16/07/1985 0:00,177.8,176
210453,Abraham Guie Gneki,25/07/1986 0:00,180.34,154
208635,Abraham Kudemor,25/02/1985 0:00,182.88,179
213695,Abraham Minero,22/02/1986 0:00,175.26,157
33715,Abraham Paz Cruz,14/03/1979 0:00,177.8,165
41489,Achille Coser,14/07/1982 0:00,185.42,174
25571,Achille Emana,05/06/1982 0:00,180.34,170
660145,Achille Vaarnold,26/01/1996 0:00,175.26,157
45960,Achmed Ahahaoui,06/12/1983 0:00,177.8,152
293235,Achraf Lazaar,22/09/1992 0:00,182.88,168
34487,Aco Stojkov,29/04/1983 0:00,177.8,165
26331,Adailton,14/04/1983 0:00,190.5,187
41749,Adailton,24/01/1977 0:00,175.26,161
495841,Adalberto Penaranda,31/05/1997 0:00,182.88,172
519835,Adam Armstrong,10/02/1997 0:00,172.72,152
68840,Adam Banas,25/12/1982 0:00,185.42,174
27534,Adam Bodzek,07/09/1985 0:00,182.88,174
157303,Adam Bogdan,27/09/1987 0:00,193.04,198
563198,Adam Brown,09/06/1995 0:00,177.8,141
557396,Adam Buksa,12/07/1996 0:00,190.5,172
365666,Adam Campbell,01/01/1995 0:00,170.18,161
180197,Adam Collin,09/12/1984 0:00,190.5,172
310346,Adam Cummins,03/03/1993 0:00,187.96,172
68962,Adam Danch,15/12/1987 0:00,182.88,179
429870,Adam Deja,24/06/1993 0:00,185.42,181
23133,Adam Drury,29/08/1978 0:00,180.34,161
420209,Adam Drury,09/09/1993 0:00,177.8,152
308280,Adam Duda,29/04/1991 0:00,187.96,170
361712,Adam Dzwigala,25/09/1995 0:00,185.42,176
38617,Adam Federici,31/01/1985 0:00,187.96,198
173993,Adam Fraczczak,07/08/1987 0:00,182.88,168
277313,Adam Gyurcso,06/03/1991 0:00,180.34,132
40568,Adam Hammill,25/01/1988 0:00,177.8,163
281079,Adam Henley,14/06/1994 0:00,177.8,170
89240,Adam Hlousek,20/12/1988 0:00,187.96,168
24159,Adam Johnson,14/07/1987 0:00,175.26,139
414208,Adam King,11/10/1995 0:00,180.34,165
43317,Adam Kokoszka,06/10/1986 0:00,187.96,181
37234,Adam Lallana,10/05/1988 0:00,172.72,161
24952,Adam Le Fondre,02/12/1986 0:00,175.26,161
209372,Adam Maher,20/07/1993 0:00,175.26,143
69518,Adam Marciniak,28/09/1988 0:00,182.88,181
478447,Adam Marusic,17/10/1992 0:00,177.8,179
500502,Adam Masina,02/01/1994 0:00,187.96,172
170593,Adam Matthews,13/01/1992 0:00,177.8,157
185336,Adam Matuschyk,14/02/1989 0:00,180.34,165
69249,Adam Mojta,30/06/1986 0:00,177.8,154
407308,Adam Morgan,21/04/1994 0:00,177.8,157
12245,Adam Nemec,02/09/1985 0:00,190.5,198
684978,Adam Ounas,11/11/1996 0:00,172.72,141
306507,Adam Pazio,27/09/1992 0:00,182.88,159
73078,Adam Pinter,12/06/1988 0:00,190.5,185
31916,Adam Rooney,21/04/1988 0:00,177.8,172
555649,Adam Ryczkowski,30/04/1997 0:00,177.8,157
158861,Adam Sarota,28/12/1988 0:00,182.88,161
160447,Adam Smith,29/04/1991 0:00,180.34,179
36774,Adam Szalai,09/12/1987 0:00,193.04,201
243068,Adam Taggart,02/06/1993 0:00,182.88,152
71359,Adam Vass,09/09/1988 0:00,180.34,165
495942,Adam Waszkiewicz,06/12/1993 0:00,182.88,174
287224,Adama Ba,27/08/1993 0:00,177.8,150
26136,Adama Coulibaly,10/09/1980 0:00,185.42,183
164360,Adama Francois,30/11/1989 0:00,193.04,176
357881,Adama Soumaoro,18/06/1992 0:00,187.96,205
181211,Adama Traore,03/02/1990 0:00,170.18,161
533212,Adama Traore,28/06/1995 0:00,177.8,159
103866,Adamo Coulibaly,14/08/1981 0:00,187.96,172
47394,Adel Taarabt,24/05/1989 0:00,180.34,172
155738,Adem Ljajic,29/09/1991 0:00,182.88,163
361710,Aderlan Santos,09/04/1989 0:00,193.04,183
568920,Aderlan,18/08/1990 0:00,177.8,157
45816,Adil Auassar,06/10/1986 0:00,187.96,187
37249,Adil Chihi,21/02/1988 0:00,182.88,172
40012,Adil Hermach,27/06/1986 0:00,182.88,154
77741,Adil Rami,27/12/1985 0:00,190.5,194
38612,Adil Ramzi,14/07/1977 0:00,177.8,163
164115,Adilson,01/01/1982 0:00,193.04,194
276701,Adis Jahovic,18/03/1987 0:00,190.5,198
131409,Adlene Guedioura,12/11/1985 0:00,177.8,179
116788,Admir Aganovic,25/08/1986 0:00,182.88,176
132844,Admir Mehmedi,16/03/1991 0:00,182.88,176
45815,Adnan Alisic,10/02/1984 0:00,180.34,157
39875,Adnan Custovic,16/04/1978 0:00,185.42,183
449241,Adnan Januzaj,05/02/1995 0:00,182.88,165
43049,Adnan Mravac,10/04/1982 0:00,193.04,185
261599,Adnane Tighadouini,30/11/1992 0:00,177.8,159
154950,Adrian Basta,01/12/1988 0:00,180.34,172
182107,Adrian Blad,16/04/1991 0:00,165.1,137
121643,Adrian Chomiuk,23/06/1988 0:00,182.88,179
102572,Adrian Colunga,17/11/1984 0:00,172.72,154
43348,Adrian Cristea,30/11/1983 0:00,177.8,161
113604,Adrian Daniel Calello,14/05/1987 0:00,177.8,181
482331,Adrian Embarba,07/05/1992 0:00,172.72,146
40501,Adrian Gonzalez,25/05/1988 0:00,182.88,168
178574,Adrian Gunino,03/02/1989 0:00,167.64,141
78537,Adrian Klepczynski,01/04/1981 0:00,187.96,165
45744,Adrian Lopez,08/01/1988 0:00,182.88,161
23358,Adrian Mariappa,03/10/1986 0:00,177.8,179
571685,Adrian Marin,09/01/1997 0:00,180.34,161
105526,Adrian Mrowiec,01/12/1983 0:00,190.5,185
39311,Adrian Mutu,01/08/1979 0:00,182.88,168
112976,Adrian Nikci,10/11/1989 0:00,182.88,168
116881,Adrian Paluchowski,19/08/1987 0:00,180.34,165
239253,Adrian Rakowski,07/10/1990 0:00,180.34,154
50345,Adrian Ramos,22/01/1986 0:00,185.42,165
323385,Adrian Ricardo Centurion,19/01/1993 0:00,175.26,143
42431,Adrian Ricchiuti,30/06/1978 0:00,167.64,159
183482,Adrian Sardinero Corpa,13/10/1990 0:00,180.34,172
168047,Adrian Stoian,11/02/1991 0:00,177.8,146
114790,Adrian Winter,08/07/1986 0:00,177.8,165
169756,Adrian,31/01/1987 0:00,187.96,170
167648,Adriano De Pierro,11/01/1991 0:00,185.42,170
280969,Adriano Facchini,12/03/1983 0:00,187.96,172
39190,Adriano Ferreira Pinto,10/12/1979 0:00,177.8,179
172172,Adriano Jose de Lara,09/12/1987 0:00,185.42,190
39199,Adriano Pereira da Silva,03/04/1982 0:00,180.34,165
38122,Adriano Russo,06/06/1987 0:00,185.42,159
121923,Adriano,21/01/1982 0:00,175.26,168
30690,Adriano,17/02/1982 0:00,187.96,194
33992,Adriano,26/10/1984 0:00,172.72,161
41109,Adriano,29/01/1980 0:00,182.88,176
171737,Adrien Goni,25/08/1988 0:00,172.72,146
447107,Adrien Hunou,19/01/1994 0:00,175.26,137
352879,Adrien Rabiot,03/04/1995 0:00,187.96,157
